Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000159,Hương Pub & Cafe,,,Đà Nẵng,185 Nguyễn Văn Thoại;Quận Sơn Trà,,,,500,,0982 233 642,,,05:30 - 23:30,,,,,,,,,,,
@VNLAB,@000160,Dạ Khúc Bar - Xuân Diệu,,,Đà Nẵng,63 Xuân Diệu;Quận Hải Châu,,,,500,,,,,16:00 - 00:00,,,,,,,,,,,
@VNLAB,@000161,The Village - Breeze Bar,,,Đà Nẵng,Võ Nguyên Giáp;Quận Ngũ Hành Sơn,,,,500,,,,,18:00 - 23:00,,,,,,,,,,,
@VNLAB,@000162,Boucane Tavern,,,Đà Nẵng,An Thượng 30;Quận Ngũ Hành Sơn,,,,500,,0901 126 321,,,17:00 - 23:00,,,,,,,,,,,
@VNLAB,@000163,Sailing Bar - Danabeach,,,Đà Nẵng,Võ Nguyên Giáp; Mỹ Khê;Quận Ngũ Hành Sơn,,,,500,,,,,08:00 - 03:00,,,,,,,,,,,
@VNLAB,@000164,Cen Pub,,,Đà Nẵng,28A Bạch Đằng;Quận Hải Châu,,,,500,,,,,08:00 - 22:30,,,,,,,,,,,
@VNLAB,@000165,Lido Bar,,,Đà Nẵng,Trường Sa;Quận Ngũ Hành Sơn,,,,500,,,,,08:00 - 23:00,,,,,,,,,,,
@VNLAB,@000166,Sky Pub,,,Đà Nẵng,214 Bạch Đằng;Quận Hải Châu,,,,500,,,,,15:00 - 22:30,,,,,,,,,,,
@VNLAB,@000167,Daknan Bar - Mường Thanh Đà Nẵng Hotel,,,Đà Nẵng,Tầng 3; Mường Thanh Đà Nẵng Hotel; 962 Ngô Quyền;Quận Sơn Trà,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000168,The Billabong - Pub & Restaurant,,,Đà Nẵng,34 An Thượng 1;Quận Ngũ Hành Sơn,,,,500,,,,,10:00 - 21:00,,,,,,,,,,,
@VNLAB,@000169,Sky Beer Bar,,,Đà Nẵng,80 Đông Kinh Nghĩa Thục;Quận Sơn Trà,,,,500,,(0511) 2 223 579,,,06:30 - 22:00,,,,,,,,,,,
@VNLAB,@000170,Hoàng Hà Bar,,,Đà Nẵng,Lô 1 - 6 Trần Nhân Tông; P. An Hải Bắc;Quận Sơn Trà,,,,500,,(0511) 3 487 474,,,16:00 - 23:00,,,,,,,,,,,
@VNLAB,@000171,Pool Bar - Samdi Hotel,,,Đà Nẵng,Tầng 19; Khách Sạn Samdi; 203 - 211 Nguyễn Văn Linh;Quận Thanh Khê,,,,500,,(0511) 3 586 222,,,17:00 - 23:30,,,,,,,,,,,
@VNLAB,@000172,Lobby Bar - Sandy Beach Non Nước Resort,,,Đà Nẵng,Trường Sa;Quận Ngũ Hành Sơn,,,,500,,(0511) 3 836 216,,,10:00 - 00:00,,,,,,,,,,,
@VNLAB,@000173,Ruby Bisco Bar & Restaurant,,,Đà Nẵng,Nguyễn Văn Linh;Quận Hải Châu,,,,500,,,,,00:00 - 00:00,,,,,,,,,,,
@VNLAB,@000174,Darts Bar Jammin Danang,,,Đà Nẵng,356 Võ Nguyên Giáp;Quận Ngũ Hành Sơn,,,,500,,01202 222 232,,,18:00 - 02:00,,,,,,,,,,,
@VNLAB,@000175,Ocean Pub,,,Đà Nẵng,03 Nguyễn Thông;Quận Sơn Trà,,,,500,,,,,17:00 - 21:00,,,,,,,,,,,
@VNLAB,@000176,Simple Man Bar - An Thượng 5,,,Đà Nẵng,52 An Thượng 5;Quận Ngũ Hành Sơn,,,,500,,,,,17:30 - 03:00,,,,,,,,,,,
@VNLAB,@000177,Heaven Pub,,,Đà Nẵng,Võ Nguyên Giáp; P. Khuê Mỹ;Quận Ngũ Hành Sơn,,,,500,,0935 875 495,,,19:00 - 00:00,,,,,,,,,,,
@VNLAB,@000178,Lobby Bar Ocean Melody - Silver Shores International Resort,,,Đà Nẵng,Trường Sa;Quận Ngũ Hành Sơn,,,,500,,(0511) 3918 359,,,08:00 - 00:00,,,,,,,,,,,
