Mã thương hiệu,Mã cửa hàng,Tên cửa hàng,Trạng thái,Mã bưu chính,Tỉnh/Thành phố,Địa chỉ,Tòa nhà,Vĩ độ,Kinh độ,Phạm vi check in,Truy cập,Số điện thoại,FAX,Tên quản lý cửa hàng,Thời gian hoạt động,Ngày nghỉ,Thông tin đỗ xe,Thông tin chỗ ngồi,Phòng của trẻ nhỏ,Địa chỉ email,Điều khoản sử dụng,Chính sách bảo mật,Freeword,SEO từ khóa 1,SEO từ khóa 2,SEO từ khóa 3
@VNLAB,@000059,Tiệm Bánh Lam Khiết,,,Đà Nẵng,Ỷ Lan Nguyên Phi;Quận Hải Châu,,,,500,,0935 101 002,,,08:00 - 20:00,,,,,,,,,,,
@VNLAB,@000060,Happy Cake,,,Đà Nẵng,149/69 Lê Đình Lý;Quận Thanh Khê,,,,500,,0974 782 356 - 01234 555 355,,,07:00 - 21:00,,,,,,,,,,,
@VNLAB,@000061,Bánh Mì Tiến Thành - Phan Châu Trinh,,,Đà Nẵng,371 Phan Châu Trinh;Quận Hải Châu,,,,500,,(0511) 2 226 509 - (0236) 2 226 509,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000062,Mochi Sweet - Bánh Nhật Order,,,Đà Nẵng,622/4 Trần Cao Vân;Quận Thanh Khê,,,,500,,0905 002 019,,,10:00 - 22:00,,,,,,,,,,,
@VNLAB,@000063,Tiệm Bánh Thịnh Thiện,,,Đà Nẵng,657 Tôn Đức Thắng;Quận Liên Chiểu,,,,500,,0905 233 873,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000064,Tiệm Bánh Mì Quốc Doanh,,,Đà Nẵng,60 Hùng Vương;Quận Hải Châu,,,,500,,(0511) 3 821 802,,,08:00 - 20:00,,,,,,,,,,,
@VNLAB,@000065,Bánh Mì Loan - Hồ Quý Ly,,,Đà Nẵng,21 Hồ Quý Ly;Quận Thanh Khê,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000066,Đồng Thạnh Bakery,,,Đà Nẵng,60 Điện Biên Phủ;Quận Thanh Khê,,,,500,,,,,06:00 - 22:00,,,,,,,,,,,
@VNLAB,@000067,Hiệu Bánh Kim Cương,,,Đà Nẵng,294 Trưng Nữ Vương;Quận Hải Châu,,,,500,,,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000068,Romeo Tiramisu - Nguyễn Chí Thanh,,,Đà Nẵng,113/7 Nguyễn Chí Thanh;Quận Hải Châu,,,,500,,,,,08:00 - 21:30,,,,,,,,,,,
@VNLAB,@000069,Khánh Vy Bakery,,,Đà Nẵng,355 Ông Ích Khiêm;Quận Hải Châu,,,,500,,,,,08:00 - 21:30,,,,,,,,,,,
@VNLAB,@000070,Tiệm Bánh Nhỏ,,,Đà Nẵng,225 Trường Chinh;Quận Thanh Khê,,,,500,,0905 967 128,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000071,Click Bakery,,,Đà Nẵng,02 Huỳnh Thúc Kháng;Quận Hải Châu,,,,500,,0937 388 708,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000072,Tiệm Bánh Đồng Thanh - Ngô Văn Sở,,,Đà Nẵng,66 Ngô Văn Sở;Quận Liên Chiểu,,,,500,,(0511) 3 737 688 - (0511) 3 736 568,,,08:00 - 22:00,,,,,,,,,,,
@VNLAB,@000073,Bánh Rau Câu Flan Thanh Huyền,,,Đà Nẵng,K47/51 Lý Thái Tổ;Quận Hải Châu,,,,500,,0916 187 579,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000074,Hoàng Ly Bakery - Nguyễn Công Trứ,,,Đà Nẵng,152 Nguyễn Công Trứ;Quận Sơn Trà,,,,500,,,,,05:30 - 23:00,,,,,,,,,,,
@VNLAB,@000075,Thi Thảo Bakery,,,Đà Nẵng,158 Nguyễn Công Trứ;Quận Sơn Trà,,,,500,,(0511) 3 572 829,,,07:00 - 22:00,,,,,,,,,,,
@VNLAB,@000076,Bánh Cá Taiyaki Mèo Moon,,,Đà Nẵng,15 Mai Lão Bạng;Quận Hải Châu,,,,500,,0935 008 494,,,15:00 - 21:30,,,,,,,,,,,
@VNLAB,@000077,Doner Kebab - Phan Đăng Lưu,,,Đà Nẵng,18 Phan Đăng Lưu;Quận Hải Châu,,,,500,,(0511) 3 697 690 - 0905 999 381,,,09:00 - 21:00,,,,,,,,,,,
@VNLAB,@000078,Tiệm Bánh Út Mô Tô,,,Đà Nẵng,77 Hoàng Diệu;Quận Hải Châu,,,,500,,0913 417 024,,,07:00 - 21:00,,,,,,,,,,,
